Frame,Prediction,Confidence,FPS
747,crocodile,0.8514,2.68
748,crocodile,0.8511,2.69
749,crocodile,0.8473,2.63
750,crocodile,0.8419,2.71
751,crocodile,0.8453,2.65
752,crocodile,0.8461,2.73
753,crocodile,0.8566,2.72
754,crocodile,0.8657,2.42
755,crocodile,0.9042,2.26
756,crocodile,0.9133,2.22
757,crocodile,0.8916,2.25
758,crocodile,0.8708,2.15
759,crocodile,0.8649,2.67
760,crocodile,0.8664,2.29
761,crocodile,0.8621,2.7
762,crocodile,0.8708,2.7
763,crocodile,0.8663,2.67
764,crocodile,0.8655,2.64
765,crocodile,0.8598,2.71
766,crocodile,0.8504,2.61
767,crocodile,0.8551,2.68
768,crocodile,0.8502,2.64
769,crocodile,0.8302,2.68
770,crocodile,0.834,2.73
771,crocodile,0.8325,2.38
772,crocodile,0.8316,2.22
773,crocodile,0.8291,2.29
774,crocodile,0.8372,2.59
775,crocodile,0.8318,2.12
776,crocodile,0.8331,2.03
777,crocodile,0.8391,3.16
778,crocodile,0.8368,3.27
779,crocodile,0.8332,3.31
780,crocodile,0.8276,3.24
781,crocodile,0.8308,3.24
782,crocodile,0.8316,2.52
783,crocodile,0.8277,2.41
784,crocodile,0.8363,2.41
785,crocodile,0.8387,2.45
786,crocodile,0.8327,2.78
787,crocodile,0.8264,2.3
788,crocodile,0.8307,2.26
789,crocodile,0.831,2.15
790,crocodile,0.8275,2.12
791,crocodile,0.8279,2.17
792,crocodile,0.827,2.19
793,crocodile,0.8402,2.18
794,crocodile,0.8287,2.58
795,crocodile,0.8486,2.1
796,crocodile,0.8578,2.64
797,crocodile,0.8477,2.47
798,crocodile,0.8379,2.29
799,crocodile,0.8541,2.26
800,crocodile,0.8488,2.29
801,crocodile,0.8418,2.32
802,crocodile,0.8468,2.64
803,crocodile,0.8473,2.4
804,crocodile,0.8303,2.46
805,crocodile,0.8277,2.23
806,crocodile,0.8469,2.22
807,crocodile,0.847,2.09
808,crocodile,0.8236,2.2
809,crocodile,0.8254,2.18
810,crocodile,0.8342,2.35
811,crocodile,0.8324,2.69
812,crocodile,0.8255,2.66
813,crocodile,0.8449,2.51
814,crocodile,0.8502,2.18
815,crocodile,0.859,2.18
816,crocodile,0.8592,2.68
817,crocodile,0.8594,2.66
818,crocodile,0.8573,2.66
819,crocodile,0.8513,2.23
820,crocodile,0.8603,2.14
821,crocodile,0.8564,2.24
822,crocodile,0.8487,2.26
823,crocodile,0.8577,2.68
824,crocodile,0.8554,2.65
825,crocodile,0.8585,2.63
826,crocodile,0.8656,2.22
827,crocodile,0.8654,2.17
828,crocodile,0.867,2.61
829,crocodile,0.8703,2.19
830,crocodile,0.8696,2.5
831,crocodile,0.8697,2.54
832,crocodile,0.8615,2.59
833,crocodile,0.8717,2.63
834,crocodile,0.8685,2.71
835,crocodile,0.8605,2.71
836,crocodile,0.8584,2.69
837,crocodile,0.8567,2.6
838,crocodile,0.8551,2.65
839,crocodile,0.8575,2.62
840,crocodile,0.8529,2.72
841,crocodile,0.6745,2.67
842,crocodile,0.69,2.64
843,crocodile,0.6934,2.66
844,crocodile,0.6962,2.62
845,crocodile,0.6973,2.43
846,crocodile,0.6893,2.13
847,crocodile,0.679,2.86
848,crocodile,0.6797,2.75
849,crocodile,0.6754,2.89
850,crocodile,0.6724,3.27
851,crocodile,0.6762,3.33
852,crocodile,0.6748,3.03
853,crocodile,0.6757,3.07
854,crocodile,0.6783,3.04
855,crocodile,0.6863,2.93
856,crocodile,0.6863,2.95
857,crocodile,0.6835,2.9
